τ,Iterasi,SCMA,EMTK,NCKL,UNVR,INKP,BBRI,MAPI,TLKM,BMRI,AADI,Total
0.001,466,0.0274,0.0,0.0655,0.0778,0.0,0.3534,0.0972,0.2408,0.0,0.1378,1.0
0.05,398,0.0271,0.0,0.065,0.0744,0.0,0.28,0.0912,0.2268,0.1013,0.1342,1.0
0.1,382,0.0239,0.0,0.0664,0.0748,0.0101,0.2526,0.0819,0.2358,0.1178,0.1366,1.0
0.15,225,0.0223,0.0,0.0759,0.0786,0.0,0.2118,0.068,0.2547,0.1464,0.1422,1.0
0.2,247,0.0,0.0169,0.0853,0.0833,0.0,0.1543,0.0482,0.2784,0.1821,0.1515,1.0
