Tanggal,Close,Return
2024-12-06,2558.4853515625,-0.00362
2024-12-09,2539.945556640625,-0.00727
2024-12-10,2567.75537109375,0.01089
2024-12-11,2651.18408203125,0.03197
2024-12-12,2614.104736328125,-0.01408
2024-12-13,2586.294921875,-0.0107
2024-12-16,2465.78662109375,-0.04772
2024-12-17,2428.707275390625,-0.01515
2024-12-18,2382.35791015625,-0.01927
2024-12-19,2345.2783203125,-0.01569
2024-12-20,2363.818115234375,0.00787
2024-12-23,2456.516845703125,0.03847
2024-12-24,2539.945556640625,0.0334
2024-12-27,2549.215576171875,0.00364
2024-12-30,2512.135986328125,-0.01465
2025-01-02,2502.8662109375,-0.0037
2025-01-03,2549.215576171875,0.01835
2025-01-06,2493.59619140625,-0.02206
2025-01-07,2382.35791015625,-0.04564
2025-01-08,2456.516845703125,0.03065
2025-01-09,2428.707275390625,-0.01139
2025-01-10,2484.326416015625,0.02264
2025-01-13,2475.056640625,-0.00374
2025-01-14,2428.707275390625,-0.0189
2025-01-15,2437.97705078125,0.00381
2025-01-16,2400.8974609375,-0.01533
2025-01-17,2465.78662109375,0.02667
2025-01-20,2419.437255859375,-0.01898
2025-01-21,2437.97705078125,0.00763
2025-01-22,2530.67578125,0.03732
2025-01-23,2512.135986328125,-0.00735
2025-01-24,2493.59619140625,-0.00741
2025-01-30,2447.246826171875,-0.01876
2025-01-31,2465.78662109375,0.00755
2025-02-03,2437.97705078125,-0.01134
2025-02-04,2447.246826171875,0.0038
2025-02-05,2428.707275390625,-0.0076
2025-02-06,2373.087890625,-0.02317
2025-02-07,2400.8974609375,0.01165
2025-02-10,2261.849365234375,-0.05966
2025-02-11,2150.61083984375,-0.05043
2025-02-12,2298.928955078125,0.06669
2025-02-13,2243.3095703125,-0.02449
2025-02-14,2345.2783203125,0.04445
2025-02-17,2456.516845703125,0.04634
2025-02-18,2484.326416015625,0.01126
2025-02-19,2475.056640625,-0.00374
2025-02-20,2475.056640625,0.0
2025-02-21,2456.516845703125,-0.00752
