Date,AADI,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BREN,BRPT,BUMI,CPIN,CTRA,DSSA,EMTK,EXCL,GOTO,HEAL,ICBP,INCO,INDF,INKP,ISAT,ITMG,JPFA,KLBF,MAPI,MBMA,MDKA,MEDC,NCKL,PGAS,PGEO,PTBA,SCMA,SMGR,TLKM,TOWR,UNTR,UNVR
2024-12-06,0.18169476089347592,-0.0037951001133424123,-0.017241830868439906,0.003795135613193783,-0.0026212334798741926,0.02640418120291303,-0.0033613210612585148,-0.009661920812399135,-0.017220642558018494,0.008264557473358069,0.011668704652836846,0.0,0.012121443236088849,0.12516316594230073,0.026526754333428604,-0.00722024797348702,-0.004065111017673867,-0.013730220112862276,-0.005982071677547429,0.08149303105705435,0.026317264067788514,0.026317308317373358,-0.006734063994020527,-0.006322470714460974,0.0,0.006329172718718742,-0.02426464827623513,-0.011928621119804158,0.009066265806469888,0.01360568396037865,-0.026937624273546054,-0.020979794080650177,-0.019418085857101627,-0.0052219439811517126,0.021978931267147547,0.012121315394713178,0.0344321723232173,-0.010204230559874088,-0.0036562913400819473,0.05055225638867202,-0.027069309157730592,-0.0036166969666416773,-0.013986234532546639,0.011696000204761919,-0.0026701715695574644
2024-12-09,0.18022950411392127,0.022557328596739413,0.1529076512232864,0.018762101718487,-0.021220955482885422,-0.04326801286165052,0.0033613210612584497,0.01445799646626784,0.026929481608316284,0.028399375091797522,0.018391423322633542,0.020450642152397915,0.023810550257939947,-0.020803093112805312,-0.021164811192043272,0.028573372444055948,0.0,-0.0186051862042166,0.0006664445431604468,0.0,-0.004338404130039019,0.012903404835907782,0.0,-0.00423726951614536,-0.00550966596677013,0.03411184850976689,0.0,-0.008032171697264267,0.00540045382647068,0.05520454979203846,0.013559555923079943,-0.021429395223807712,0.009756174945364656,0.005221943981151625,-0.013129283655524992,0.011976223175932846,0.02431732063544387,0.0,0.007299262900012454,0.07461080823483317,0.009104737181029495,-0.007272777438723363,0.027779549426584928,0.019486886198730704,0.013280469195368535
2024-12-10,0.07317258759740167,-0.018762228483397057,0.018484813857112575,0.007407568040070375,0.005347606326595277,0.03673199961373235,0.08673174822155283,0.0,0.0,0.01980265676414723,-0.006857308360229655,0.0,-0.011834452527848748,0.01490336418434644,0.0,0.04138521616285428,0.0040651110176739705,-0.00470586106406241,0.005978098175507963,0.07534943451132198,-0.004357190459234971,0.025317807984289786,-0.0033840723316636207,-0.00425538569377019,0.03794493447721351,-0.006116263327624521,0.017391771314919882,-0.004040358061716807,0.0008973132719622447,-0.01287022074839587,0.013378068350466015,0.014337165676224938,0.03809984623227038,0.03580945269671078,0.013129283655525004,-0.00597014463072582,-0.046091089591248115,-0.005141397489945501,0.028675841695081153,0.16805914511284295,0.0,0.010889474405364979,-0.013793314894038193,-0.010582108533250421,0.05392832330742907
2024-12-11,-0.06795058516470147,-0.015267491536054147,-0.04495134004484909,-0.014870220132176953,-0.016129381929883644,-0.026579645996831394,-0.01550422226961181,0.004773284068742987,0.007220266352206262,-0.0049140505347127295,0.004576759661153156,0.012072558128760546,0.0,-0.0059347424020525915,-0.02710192977779127,-0.020478531343540676,0.012096912778353943,-0.00947880250566041,0.052253098528816926,-0.03278974955552066,-0.022076022229599257,-0.025317807984289897,-0.0033956468992181695,0.0,-0.0026630892984539755,0.006116263327624606,-0.006920440485815297,0.004040358061716889,0.011591680362231736,-0.0025940413168358115,0.0,0.007092229547582826,-0.028437935320533514,-0.002515724597247247,-0.008733823382937812,-0.018127393939920227,0.009389787209432973,-0.00516796812713541,-0.010657334405733456,-0.0055402324001761274,0.03852328133011763,0.031974242797661506,-0.006968665621018419,-0.015185602808809864,-0.02788526723517531
2024-12-12,-0.042559647407280264,-0.023347343827738613,-0.03113084481987611,0.0,0.008097210232619303,-0.010152353616900887,0.009331333132076592,-0.028987465575168615,-0.024273098672258426,-0.039181383133354654,-0.027779579276393934,-0.016129386147962565,-0.028170894371820458,0.01522180009684854,-0.011049836186584935,0.0,-0.008048360876730599,-0.024097519557201894,0.01000633739972576,0.01652926471692312,0.008889011710658099,-0.012903404835907841,0.0,-0.010718196366673436,0.03922068773619676,0.0,0.0,0.01600034134644112,-0.0062249604945738835,0.018018547823366135,-0.033786936511288175,0.027876374310434524,0.0,-0.020356937068744085,-0.01769953133075547,0.0,0.006211202959738515,-0.005194814824637334,0.0,0.08515787822116339,-0.017595704042444427,-0.014084681755657092,-0.04286368112853616,0.006280825143329587,-0.020779930198954175
2024-12-13,0.0,-0.02390549970837079,0.019570092988992656,-0.015094585239574234,-0.01626052087178029,0.006779730759049773,-0.01875056085970741,0.004889990366209841,-0.012361129144214401,-0.031219945491159785,-0.021353136420499668,-0.016393814133195947,-0.01646130045349247,0.0,-0.011173300598125189,-0.01388911216066715,0.0,-0.009803999193182672,0.025193344731904353,-0.04184706992796333,0.004415020306429668,-0.013072081567352775,0.0,0.021322814577096783,0.01273908047242087,-0.0030534555864642258,-0.006968666924345204,0.04272499301005305,-0.006264033139620169,-0.005115112603374466,-0.006896635527869438,-0.0068965802297842735,-0.029270382300113224,-0.01033600933066206,-0.027150975538003032,0.006079023370786035,-0.006211202959738551,-0.0052219419071934245,-0.007168450596059069,-0.057758834624360364,0.0058997274079548865,-0.010695362425697328,0.007272755304485313,0.006241698420072049,-0.01854359506866813
2024-12-16,0.005420015502921574,-0.03278986413742702,0.007721998866166651,-0.026976641814326713,0.0,0.003372622857851196,-0.015898541237159905,0.0,0.004962907081416945,-0.019210840742984143,0.019002911524193603,-0.008298751003789122,0.008264566770293646,-0.011799546931155055,-0.011299555253933394,-0.028370697129215576,-0.014242380692955527,0.004913983632341109,-0.06907956040382775,-0.01724187974476113,0.0,-0.05406722127027582,-0.017153034032042647,-0.004228395830510863,-0.02564247705602859,-0.0061350251008106295,0.0034903694185584567,-0.015325969731605741,-0.003597086711975136,0.0,-0.0034661497182599233,-0.03880558116187998,-0.017982502550432357,-0.013072081567352775,-0.01851911747847606,-0.03077162230232246,-0.018868493124122147,-0.02116480267439621,-0.014493028253219218,-0.03857225762903656,-0.011834468271402467,-0.04771544677861682,-0.014598791312778697,-0.003561891159879637,-0.024358416179270884
2024-12-17,-0.035767167139970586,-0.029600480769831992,-0.03522871157646751,-0.043919248247358475,-0.016529301951210582,-0.04124297168455667,-0.03257624605274414,-0.028700664114475194,-0.02000071747759172,-0.037325937825690415,-0.023810568455227134,-0.02531786895716011,-0.020790729474235475,0.04354824524573546,0.0056657375356773,-0.029199154692262353,-0.008230527886861743,-0.014815053693635795,0.0186800922904315,-0.03540184774444544,0.004395613551953623,-0.028170876966696335,0.0,-0.02358093321267948,-0.02365420185413514,-0.009273629635737744,-0.02469256968891014,-0.015564515771067232,-0.018182361621354188,-0.05806380307394091,-0.028170931518360896,-0.021819051300825263,-0.01626052087178029,-0.03208831455150051,-0.023641610813872387,-0.012578815625312097,-0.032260877688912074,-0.03815175014757897,-0.02587940887344274,0.027702576795063983,-0.02105346684085359,-0.015151742288283079,0.0,-0.06543101287458292,-0.03626620128662041
2024-12-18,-0.0312970016675064,-0.021692768679209176,0.03137516578317655,-0.04593699801442493,-0.01680711831638129,-0.014134515568001771,0.003305846672704472,0.00400802565681193,-0.010152397626586058,-0.008988812016684914,0.0,-0.012903380360375095,-0.021232272307962177,0.01969121289018168,-0.011363758650315095,-0.02247285585205863,-0.01877009030242949,-0.040614715277555447,-0.010908032442728498,0.008968591683961505,-0.008810633858383288,0.0,0.0,-0.017505902380481803,-0.0026630892984539755,-0.02834833273316395,-0.025317835045211404,-0.04820209935563694,-0.003676434399498711,0.04775440917078488,-0.014388765913838772,0.021819051300825364,-0.016529301951210582,-0.04445176257083381,-0.014458136287157131,-0.006349203941946937,0.01626048514401146,0.0,0.0037383017310509995,-0.02770257679506404,0.026988207704301145,-0.0192684145633418,-0.029853042267757843,0.0009519682936402976,0.025246826782529794
2024-12-19,-0.035297810173849864,-0.008810697288762746,-0.019493791955149883,-0.04367511689578071,0.011236073266925752,0.0,-0.03015305629632406,-0.024292718648364072,-0.012837070909516291,-0.02746170794459377,-0.014563371830825103,-0.039740368106096664,-0.026088327864586616,-0.016854331554982074,-0.052798185566970766,-0.07878087785311434,-0.03208829284241567,0.020513537855428962,-0.035460051378869706,-0.05505977499657032,-0.008889011710658059,-0.028987536873252298,-0.020979803711748044,-0.011098872173619401,-0.04082196698508094,-0.022618092388138746,-0.011049869060594363,-0.020790821991691737,-0.0308579599595942,-0.04233432904364262,-0.04445175845446658,-0.04412481289752805,-0.06010392406970544,-0.08597885237544056,0.019231311418161364,-0.032365329558330574,-0.009724510989458889,0.06973330955380584,-0.03802739797683976,-0.07583808513553363,-0.0300323144687027,-0.015686634242741027,-0.015267464740638193,0.0009509816977523906,-0.019581136463769362
