Date,AADI.JK,ADMR.JK,ADRO.JK,AKRA.JK,AMMN.JK,AMRT.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BMRI.JK,BREN.JK,BRPT.JK,BUMI.JK,CPIN.JK,CTRA.JK,DSSA.JK,EMTK.JK,EXCL.JK,GOTO.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INKP.JK,ISAT.JK,ITMG.JK,JPFA.JK,KLBF.JK,MAPI.JK,MBMA.JK,MDKA.JK,MEDC.JK,NCKL.JK,PGAS.JK,PGEO.JK,PTBA.JK,SCMA.JK,SMGR.JK,TLKM.JK,TOWR.JK,UNTR.JK,UNVR.JK
2017-01-02,,,422.9783630371094,744.44677734375,,569.0115966796875,721.5878295898438,5174.2294921875,2480.385498046875,1858.162353515625,1286.5596923828125,1256.82275390625,1891.058349609375,,141.6656036376953,278.0,2645.65869140625,1184.9205322265625,22.200000762939453,913.771484375,1932.754638671875,,,7089.16259765625,2716.47509765625,5644.6328125,890.3844604492188,1223.1390380859375,4718.06396484375,1057.11181640625,1273.0841064453125,518.7000122070312,,374.3123474121094,211.5203094482422,,1641.824462890625,,780.9970703125,400.9791564941406,7381.62548828125,2602.45166015625,551.6270751953125,10805.5068359375,5740.63330078125
2017-01-03,,,434.20794677734375,722.733642578125,,564.4595947265625,713.5254516601562,5127.33349609375,2524.39208984375,1841.346435546875,1311.35400390625,1227.9302978515625,1846.1302490234375,,145.0500946044922,272.0,2688.468994140625,1153.8553466796875,22.200000762939453,913.771484375,1907.6539306640625,,,7109.83154296875,2677.94384765625,5502.18212890625,899.7078247070312,1194.694091796875,4836.89013671875,1100.7041015625,1268.8822021484375,497.08746337890625,,374.3123474121094,216.32760620117188,,1714.7940673828125,,798.178955078125,400.9791564941406,7321.28515625,2582.8349609375,551.6270751953125,10678.380859375,5744.330078125
2017-01-04,,,424.2261657714844,735.1411743164062,,528.0428466796875,697.4005126953125,5002.27685546875,2512.390380859375,1883.386474609375,1344.413330078125,1289.3267822265625,1854.2989501953125,,147.95108032226562,266.0,2739.841064453125,1184.9205322265625,22.200000762939453,888.5797729492188,1941.121337890625,,,7109.83154296875,2620.146484375,5555.6015625,890.3844604492188,1156.7672119140625,4753.013671875,1024.4176025390625,1294.091796875,509.0943603515625,,372.4407958984375,249.17733764648438,,1745.198486328125,,773.18701171875,413.8677978515625,7602.8740234375,2582.8349609375,539.3003540039062,10881.779296875,5947.76953125
2017-01-05,,,415.49200439453125,725.8356323242188,,528.0428466796875,701.4317626953125,5080.43701171875,2508.389892578125,1891.79443359375,1333.3935546875,1278.4921875,1837.96142578125,,150.36859130859375,304.0,2791.212890625,1162.7310791015625,22.200000762939453,888.5797729492188,2141.927490234375,,,7089.16259765625,2735.740966796875,5698.05224609375,904.3695068359375,1137.8037109375,4592.24853515625,1071.6424560546875,1315.0997314453125,497.08746337890625,,372.4407958984375,240.36399841308594,,1739.1175537109375,,752.8811645507812,415.29986572265625,7643.099609375,2582.8349609375,542.3819580078125,11174.162109375,5999.55322265625
2017-01-06,,,422.9783630371094,732.0391235351562,,537.1470947265625,697.4005126953125,5111.7021484375,2496.388427734375,1883.386474609375,1333.3935546875,1318.21923828125,1858.383544921875,,156.65411376953125,324.0,2756.96533203125,1158.2933349609375,22.200000762939453,888.5797729492188,2217.229248046875,,,7047.82666015625,2822.43701171875,5715.8583984375,904.3695068359375,1142.544677734375,4641.17724609375,1064.3773193359375,1315.0997314453125,521.101318359375,,372.4407958984375,241.96644592285156,,1726.9560546875,,766.9390869140625,421.0281066894531,7562.6455078125,2615.529052734375,542.3819580078125,11034.326171875,6006.951171875
2017-01-09,,,429.21697998046875,738.2430419921875,,523.49072265625,689.338134765625,5096.06884765625,2456.3818359375,1866.570068359375,1294.82421875,1314.6077880859375,1842.04638671875,,157.1376190185547,342.0,2748.403076171875,1153.8553466796875,22.200000762939453,861.097900390625,2208.8623046875,,,7275.17626953125,2745.3740234375,5573.40771484375,937.0015258789062,1152.0263671875,4536.33203125,1064.3773193359375,1294.091796875,506.6929626464844,,372.4407958984375,240.36399841308594,,1678.30908203125,,751.319091796875,412.4356689453125,7341.3984375,2628.60693359375,539.3003540039062,11136.02734375,5940.37109375
2017-01-10,,,420.48291015625,775.465087890625,,523.49072265625,697.4005126953125,5127.33349609375,2464.38330078125,1883.386474609375,1300.3343505859375,1325.4425048828125,1862.4677734375,,159.5550994873047,340.0,2679.906982421875,1153.8553466796875,22.200000762939453,769.4918212890625,2233.963134765625,,,7254.50732421875,2774.272705078125,5680.2451171875,960.31005859375,1147.285400390625,4410.5166015625,1082.5406494140625,1302.4949951171875,506.6929626464844,,372.4407958984375,239.5627899169922,,1666.147705078125,,752.8811645507812,405.2752990722656,7341.3984375,2615.529052734375,539.3003540039062,11161.4501953125,5932.9736328125
2017-01-11,,,435.45556640625,775.465087890625,,532.5949096679688,705.4629516601562,5017.908203125,2448.380615234375,1883.386474609375,1300.3343505859375,1329.0538330078125,1858.383544921875,,159.5550994873047,368.0,2688.468994140625,1131.665771484375,22.200000762939453,769.4918212890625,2250.69677734375,,,7089.16259765625,2909.13330078125,5662.4404296875,955.648193359375,1175.7305908203125,4347.609375,1133.398193359375,1298.2933349609375,506.6929626464844,,372.4407958984375,239.5627899169922,,1702.632568359375,,756.0051879882812,400.9791564941406,7120.15087890625,2589.3740234375,523.8917236328125,11085.17578125,5914.4794921875
2017-01-12,,,427.96923828125,769.2615966796875,,532.5949096679688,697.4005126953125,4955.380859375,2452.380859375,1866.570068359375,1308.5992431640625,1361.557861328125,1846.1302490234375,,161.00558471679688,370.0,2731.27880859375,1127.2276611328125,22.200000762939453,769.4918212890625,2317.632080078125,,,7068.49560546875,2841.702880859375,5609.0205078125,927.677978515625,1170.9898681640625,4431.48583984375,1162.459716796875,1285.6885986328125,516.298583984375,,372.4407958984375,236.35797119140625,,1660.0670166015625,,762.253173828125,408.1394958496094,6999.470703125,2589.3740234375,526.9735107421875,10792.7939453125,5910.7802734375
2017-01-13,,,424.2261657714844,759.9561767578125,,509.8344421386719,741.7438354492188,5002.27685546875,2444.379638671875,1841.346435546875,1316.8638916015625,1372.3924560546875,1813.4554443359375,,161.4890899658203,388.0,2679.906982421875,1127.2276611328125,22.200000762939453,769.4918212890625,2317.632080078125,,,7047.82666015625,2388.95703125,5609.0205078125,937.0015258789062,1170.9898681640625,4452.455078125,1151.561767578125,1273.0841064453125,511.4957275390625,,372.4407958984375,233.153076171875,,1678.30908203125,,766.9390869140625,399.547119140625,7059.81103515625,2582.8349609375,493.07464599609375,11148.73828125,5858.99609375
